Year,Population,"Yearly %
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"
Global Rank",Country,year2
2020,1439323776,0.39,5540090,-348399,38.4,1.69,153,6.08,875075919,18.47,7794798739,1,China,70
2019,1433783686,0.43,6135900,-348399,37.0,1.65,153,5.97,856409297,18.59,7713468100,1,China,69
2018,1427647786,0.47,6625995,-348399,37.0,1.65,152,5.86,837022095,18.71,7631091040,1,China,68
2017,1421021791,0.49,6972440,-348399,37.0,1.65,151,5.75,816957613,18.83,7547858925,1,China,67
2016,1414049351,0.51,7201481,-348399,37.0,1.65,151,5.63,796289491,18.94,7464022049,1,China,66
2015,1406847870,0.55,7607451,-310442,36.7,1.64,150,5.51,775352918,19.06,7379797139,1,China,65
2010,1368810615,0.57,7606847,-435677,35.0,1.62,146,4.89,669353557,19.68,6956823603,1,China,60
2005,1330776380,0.62,8045123,-393116,32.6,1.61,142,4.22,561983323,20.34,6541907027,1,China,55
2000,1290550765,0.79,9926046,-76600,30.0,1.62,137,3.57,460377048,21.01,6143493823,1,China,50
1995,1240920535,1.07,12807372,-155996,27.4,1.83,132,3.09,383901711,21.6,5744212979,1,China,45
1990,1176883674,1.82,20258863,-86330,24.9,2.73,125,2.63,310022147,22.09,5327231061,1,China,40
1985,1075589361,1.47,15100025,-40000,23.5,2.52,115,2.28,244946241,22.08,4870921740,1,China,35
1980,1000089235,1.55,14769670,-9401,21.9,3.01,107,1.92,192392094,22.43,4458003514,1,China,30
1975,926240885,2.28,19727898,-221096,20.3,4.85,99,1.73,160244444,22.7,4079480606,1,China,25
1970,827601394,2.7,20676485,-32000,19.3,6.3,88,1.73,143513192,22.36,3700437046,1,China,20
1965,724218968,1.86,12762182,-225145,19.8,6.15,77,1.8,130684595,21.69,3339583597,1,China,15
1960,660408056,1.53,9633300,-11900,21.3,5.48,70,1.61,106561743,21.76,3034949748,1,China,10
1955,612241554,2.0,11564456,-51205,22.2,6.11,65,1.38,84639825,22.08,2773019936,1,China,5
2020,1380004385,0.99,13586631,-532687,28.4,2.24,464,3.5,483098640,17.7,7794798739,2,India,70
2019,1366417754,1.02,13775474,-532687,27.1,2.36,460,3.45,471828295,17.71,7713468100,2,India,69
2018,1352642280,1.04,13965495,-532687,27.1,2.36,455,3.41,460779764,17.73,7631091040,2,India,68
2017,1338676785,1.07,14159536,-532687,27.1,2.36,450,3.36,449963381,17.74,7547858925,2,India,67
2016,1324517249,1.1,14364846,-532687,27.1,2.36,445,3.32,439391699,17.75,7464022049,2,India,66
2015,1310152403,1.2,15174247,-470015,26.8,2.4,441,3.27,429069459,17.75,7379797139,2,India,65
2010,1234281170,1.47,17334249,-531169,25.1,2.8,415,3.08,380744554,17.74,6956823603,2,India,60
2005,1147609927,1.67,18206876,-377797,23.8,3.14,386,2.91,334479406,17.54,6541907027,2,India,55
2000,1056575549,1.85,18530592,-136514,22.7,3.48,355,2.76,291350282,17.2,6143493823,2,India,50
1995,963922588,1.99,18128958,-110590,21.8,3.83,324,2.65,255558824,16.78,5744212979,2,India,45
1990,873277798,2.17,17783558,9030,21.1,4.27,294,2.55,222296728,16.39,5327231061,2,India,40
1985,784360008,2.33,17081433,115942,20.6,4.68,264,2.43,190321782,16.1,4870921740,2,India,35
1980,698952844,2.32,15169989,222247,20.2,4.97,235,2.3,160941941,15.68,4458003514,2,India,30
1975,623102897,2.33,13582621,421208,19.7,5.41,210,2.13,132533810,15.27,4079480606,2,India,25
1970,555189792,2.15,11213294,-68569,19.3,5.72,187,1.97,109388950,15.0,3700437046,2,India,20
1965,499123324,2.07,9715129,-17078,19.6,5.89,168,1.87,93493844,14.95,3339583597,2,India,15
